Time,BS_ID,BS_STATUS,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_MID,UE_LOC_X,UE_LOC_Y,MAX_DR (bits),DEMAND_DR (bits),REAL_DR (bits),BS_Trans_PWR (W),UE_Rec_PWR (W),RSRP (dBm),RSSI (dBm),RSRQ (dB),DDR (%), SNR, AVTH, RET, DIST, DIST95
9,0,3,0,0,0,0,71,0.25,0.27864,31.25,28,2,1.18593,-0.18319,160,65,65,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.27,1,1.2,0
9,0,3,0,0,0,0,70,0.25,-0.27864,39.1,29,0,2.87869,1.19853,160,59,59,8.40154e-12,7.00128e-12,-81.5482,-50.7564,-10.7918,0,7.22329,0.68,1,3.11823,0
9,0,3,0,0,0,0,69,0.25,0.2709,41.48,30,2,7.60495,0.401733,126,117,117,9.30976e-13,7.75813e-13,-91.1024,-60.3106,-10.7918,0,-2.33091,0.16,1,7.61556,1
9,0,3,0,0,0,0,68,0.25,-0.2709,46.88,31,0,0.903596,0.789629,160,48,48,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.48,1,1.2,0
9,0,3,0,0,0,0,67,0.25,0.26316,40.6,32,0,2.0532,0.0909634,160,110,110,1.47301e-11,1.2275e-11,-79.1098,-48.318,-10.7918,0,9.66175,0.47,1,2.05521,0
9,0,3,0,0,0,0,66,0.25,-0.26316,43.69,33,0,8.31436,4.44788,113,7,7,5.43853e-13,4.53211e-13,-93.437,-62.6452,-10.7918,0,-4.66549,0.49,1,9.42933,1
9,0,3,0,0,0,0,65,0.25,0.25542,31.01,34,0,0.646466,-1.01098,160,35,35,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.46,1,1.2,0
9,0,3,0,0,0,0,64,0.25,-0.25542,44.55,35,2,1.17097,-0.262374,160,88,88,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.33,1,1.2,0
9,0,3,0,0,0,0,63,0.25,0.24768,33.38,36,1,4.58014,-1.60141,151,5,0,3.16592e-12,2.63827e-12,-85.7868,-54.995,-10.7918,0,2.9847,0,1,4.85203,0
9,0,3,0,0,0,0,62,0.25,-0.24768,48.45,37,2,1.09454,-0.491917,160,105,105,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.24,1,1.2,0
